triple: 布拉泽维奇	怕	牙买加人
triple: 英格兰队	英格兰队的	希勒
triple: 厄尔头球	扳平比分	克罗地亚队
triple: 厄尔头球	扳平比分	斯塔尼
triple: 厄尔头球	扳平比分	牙买加队
triple: 克罗地亚队	相遇	牙买加队
triple: 土沟村	老汉	庞占福
triple: 土沟村	土沟村的	庞占福老汉
triple: 柳杨堡	乡	宁夏回族自治区盐池县
triple: 普里莫拉茨	蒋鹏龙	中国台北队新秀
triple: 普里莫拉茨	负于	蒋鹏龙
triple: 阎森	淘汰	瓦尔德内尔
triple: 孔令辉	淘汰	瓦尔德内尔
triple: 中国队	战胜	意大利队
triple: 中国队	战胜	美国队
triple: 巴黎	站上来	墨西哥球迷
triple: 沙特队	有一搏	南非队
triple: 韩国队	要打	荷兰
triple: 韩国队	要打	比利时
triple: 韩国队	判若	两队
triple: 驰誉集团	赠送	驰誉药磁鞋
triple: 驰誉集团	举行活动	北京工人体育馆
triple: 杨立青	杨立青的	金复载
triple: 杨立青	杨立青的	马晓晖
triple: 金湘	金湘的	塔什瓦依
triple: 金湘	金湘的	瓦依
triple: 陈昭	抓住	日本队后卫
triple: 日本队	掀起狂潮	阿根廷队腹地
triple: 阿根廷队	抓住	日本队后卫
triple: 米哈伊洛维奇	努力	伊朗队
triple: 陈敏章	视察	荣耀医院
triple: 西安医科大学	应诊	荣耀医院
triple: 江泽民主席	主持	中央军委
triple: 十二届六中全会	决议	中共中央
triple: 胡绳先生	能有	中国近代史
triple: 农业部	召开现场会议	山东省
triple: 环保总局三部局	召开现场会议	山东省
triple: 艺展	包括	三大类别
triple: 北京	北京的	台海出版社
triple: 北京天体物理中心	成立	京
triple: 白剑峰	看到	海碧天蓝
triple: 教育部	配合	财政部
triple: 教育部	包括	国家教委
triple: 三只小虎	输氧	小虎
triple: 广西桂林雄森熊虎山庄	名叫	雄欢
triple: 广西桂林雄森熊虎山庄	取出	三只虎崽
triple: 华南雌虎	取出	三只虎崽
triple: 广东	放	北龙
triple: 广东	放	北龙
triple: 广东	位于	大亚湾畔
triple: 广东	放	北龙
triple: 南京长三角文化市场	内	鼓楼区南京军区政治部军人俱乐部
triple: 乡镇长	责任书	环保目标
triple: 曲格平	发展	中国长远
triple: 普契尼	普契尼的	威尔弟
triple: 淮阴市	下功夫	上大
triple: 王永民	版本	五笔字型
triple: 个市	分校	农函大
triple: 江泽民同志	开发区	郑州
triple: 江泽民同志	振兴	中原
triple: 三是	充分利用	财税政策
